Param name,Param value_Nocarb,Param value_Inulin,Param value_Laminarin,Param value_Xylan,Median,Std_dev
PJ,0.18994508097222937,0.23769034430535568,0.1884392712381842,0.25489944270938414,0.2138177126387925,0.03371414441115501
BV,0.2594853454480462,0.45977315942753955,0.24232081829260266,0.3689027047221229,0.31419402508508454,0.10163165603752462
AC,0.15870397407256637,0.4706077223996136,0.20736666005540128,0.19312538369602175,0.2002460218757115,0.14356530390292205
DP,0.19231080339997111,0.192118868333951,0.23280116758691627,0.24503879862709907,0.21255598549344368,0.027424253286625934
BT,0.2172883030988655,0.4725625623716509,0.1883578754969852,0.4050578500409318,0.3111730765698987,0.13950728447021826
DL,0.2012497953238958,0.49160625727136587,0.3053505588227447,0.28451550248025004,0.29493303065149734,0.1225047235284135
BH,0.18739632391321978,0.21932057026620586,0.216416169818751,0.22802832578493937,0.21786837004247844,0.01763370648315001
BP,0.16187088090368315,0.27982369001867846,0.19523910332863273,0.1930994676333992,0.19416928548101597,0.05056493281730299
CS,0.20028432646625227,0.2669321064991875,0.23111804865380997,0.2510408377853902,0.2410794432196001,0.028724213270362696
EL,0.2009718369613997,0.284633939464519,0.26546498457236284,0.2430570076293745,0.25426099610086866,0.03597230716968697
PJ*PJ,-1.486209237904942,-0.6652548729028022,-1.00393690327369,-1.6767349417127562,-1.245073070589316,0.4594659368768628
PJ*BV,0.02416211836736804,-0.26478732327125853,0.3120075544233989,-0.12362606263612347,-0.04973197213437772,0.2467427138534421
PJ*AC,-0.0466084008006856,-0.07140845252917637,-0.08352435240118651,0.0698525306836956,-0.05900842666493099,0.0702180575560432
PJ*DP,0.014538292931622177,0.2272838977565036,1.0068650668546377,0.06256617393303446,0.144925035844769,0.46177726619525983
PJ*BT,-0.05798134234844315,-0.1451038184944509,-0.58691892780879,-0.09659875016825518,-0.12085128433135303,0.24610699035554484
PJ*DL,-0.08013573494529785,0.022733141562572976,0.10475388087973805,-0.19489251136525976,-0.02870129669136244,0.12968281189247385
PJ*BH,0.04397744005771066,-0.21923114166232177,0.5320069650349205,0.01588812384162758,0.02993278194966912,0.31547041655094493
PJ*BP,-0.014285214971241826,-0.07882747823686967,-0.15354274099464957,0.09173260943237864,-0.04655634660405575,0.10393557817012335
PJ*CS,-0.10831858864207054,0.14468656451216425,0.43562406193783065,-0.15990663685884302,0.01818398793504685,0.27304227394006003
PJ*EL,0.04556201611956151,0.13483637987205818,0.5479555877324643,0.013141202786476115,0.09019919799580985,0.24713760410157756
BV*PJ,-0.1263711737739791,-0.2404334868452359,-0.0012505181920305906,-0.09617639354483778,-0.11127378365940845,0.09857595960402177
BV*BV,-1.2423609345401665,-0.39782249269580483,-1.2420303985733552,-1.1053964890746477,-1.1737134438240013,0.40455956733333176
BV*AC,0.05461485246635014,0.01995609126245648,0.4182763313764501,0.28198644400437967,0.1683006482353649,0.1895262942294604
BV*DP,-0.4626529599044685,-0.1387479966315249,0.08446908812722667,-0.23149039847497624,-0.18511919755325057,0.22655950426685237
BV*BT,-0.017189921150773963,-0.46904994363826424,-0.20049628097390562,-0.3375672564377272,-0.2690317687058164,0.19335148424524948
BV*DL,0.12010277378206789,-0.26540025846469806,-0.011922953834544635,-0.47957641948697144,-0.13866160614962134,0.26684584365532793
BV*BH,-0.1815090366039872,-0.4879302471944976,-0.12452122439325582,-0.18700104199695716,-0.18425503930047218,0.16424066771192933
BV*BP,-0.18828758232188608,-0.3907174621545994,-0.5047720892834059,-0.4287546893204144,-0.4097360757375069,0.13515382059622935
BV*CS,-0.2838767742983731,-0.32339269099011264,-0.016299674252272217,-0.2989533078653714,-0.2914150410818722,0.14381202863947667
BV*EL,0.2997122714280553,0.007753848349738805,0.26199622246752047,0.5904119251552438,0.2808542469477879,0.23859921117295646
AC*PJ,-0.03399929276580036,-0.17702018799629554,-0.09943069688464198,-0.02764941730872308,-0.06671499482522117,0.06967835292741975
AC*BV,-0.0920527438005375,0.1654066140452222,-0.12677065258867645,-0.10348358546813217,-0.09776816463433484,0.1371839094978181
AC*AC,-1.5647102479687278,-0.9652748450869437,-1.4896728458977004,-1.613531440057958,-1.527191546933214,0.2997092688839909
AC*DP,0.06688606954775919,0.07242295002929555,-0.08988618630249855,-0.04063912883169035,0.01312347035803442,0.08047899706292903
AC*BT,-0.16293155822979824,-0.47566086021975007,-0.03911020901820263,0.15985716965882013,-0.10102088362400044,0.26635996333885203
AC*DL,-0.09659703814011927,-0.11028094888712411,-0.09332197044358295,-0.010477692866599301,-0.09495950429185111,0.04539271995732343
AC*BH,-0.03100527016993686,-0.3746042057923743,-0.10186712755500232,0.20012694973399756,-0.0664361988624696,0.23671459118638094
AC*BP,0.004822486640378669,0.23481514558368108,-0.25425848531965645,-0.016237156526337254,-0.005707334942979292,0.1998619335045503
AC*CS,-0.11934249104261084,0.23841720940987673,-0.05693855285602939,-0.035326593124106076,-0.04613257299006773,0.1585304120153275
AC*EL,0.42491566976828454,-0.35611748641373053,0.21716278704373976,0.21808522943677183,0.2176240082402558,0.3359455268478878
DP*PJ,0.18282617564432593,-0.04495191609965262,0.4275051044594642,0.027763249279040073,0.10529471246168301,0.2089840166839627
DP*BV,0.03674760513449152,0.19308114730423687,-0.31731375345427787,-0.07013781226870226,-0.016695103567105372,0.21449693778048237
DP*AC,0.7213307320341952,-0.0017768886274592832,0.48220306613209424,0.4263264507756917,0.45426475845389297,0.30107106851767135
DP*DP,-0.7962881026242293,-0.6454532502611551,-1.0399376751236544,-0.8991752433439665,-0.8477316729840979,0.166460431741192
DP*BT,0.13701616722215232,-0.04291476215297749,-0.09591344508266234,-0.11122878127366978,-0.06941410361781991,0.1140055273555153
DP*DL,0.23404617022340618,-0.04072400314998611,0.294815431380406,0.06752192541149818,0.1507840478174522,0.1535382977246337
DP*BH,0.44132279962356574,0.2647817703394067,0.5764969498260956,0.5616402259553831,0.5014815127894744,0.14417208670546303
DP*BP,0.4932506017821229,0.0419986155870329,-0.755242639161722,-0.11104017765296957,-0.03452078103296834,0.5165222144110723
DP*CS,0.12627226378749828,0.1306970669197994,0.6130855568620266,-0.00284937290035307,0.12848466535364883,0.2713528303974586
DP*EL,0.7125538356712912,0.2711550326397654,0.11482197571298192,0.360977111412663,0.3160660720262142,0.2531177022193754
BT*PJ,-0.18206754145286078,-0.3723355945794494,-0.3379512751626319,-0.35804168717959106,-0.3479964811711115,0.08815648600909368
BT*BV,0.41619848767087864,0.02603200720555856,0.380350793912084,-0.6982803576189608,0.20319140055882126,0.5171390368918493
BT*AC,-0.32769385095242154,-0.8086200067185965,-0.009514974204442663,0.3737642206070244,-0.1686044125784321,0.5006725015964122
BT*DP,-0.30440250031505167,0.0014695697520783618,0.2853390492696068,-0.2152328837701791,-0.10688165700905036,0.26258619759038676
BT*BT,-0.8712905083895642,-0.5254191136060213,-0.4805531847849318,-1.5026943257684038,-0.6983548109977928,0.4719485991040054
BT*DL,-0.3527390716457268,-0.07880533930913383,-0.07745021245930028,0.15577225685620366,-0.07812777588421706,0.20793200453191565
BT*BH,0.197020330948901,-0.1799976772106271,0.18090644796349353,0.28555744649701037,0.18896338945619728,0.2057883720401491
BT*BP,-0.33480729639205237,-0.006545242782602563,-0.008174492801791689,-0.15690151774531705,-0.08253800527355437,0.15567723611205672
BT*CS,-0.0933229569611548,0.08456685224100394,0.19256477613398273,0.09630599770620989,0.0904364249736069,0.1191647431521968
BT*EL,0.4410591213950486,-0.41664673716786055,0.9203398895409823,0.6378681467656461,0.5394636340803474,0.5761530723179634
DL*PJ,-0.17804335077924618,0.5973358424729545,-0.30567519469844473,-0.23294134825224774,-0.20549234951574696,0.4213664211178469
DL*BV,-0.41204489769362457,0.6523705898895503,0.19421847950666954,-0.5904487035476697,-0.10891320909347751,0.5702754649607906
DL*AC,0.45597852932763444,0.039105527227161166,0.5358561348177471,-0.4775978469409447,0.2475420282773978,0.46480828469261887
DL*DP,-0.2794926715210766,-0.2504834129791056,0.07727674753263966,-0.39951366286471307,-0.2649880422500911,0.20402140971450317
DL*BT,0.07698086985974911,0.1330788459406015,-0.31186954408276113,0.5765721138714889,0.1050298579001753,0.363769268276578
DL*DL,-0.8853075387562432,-0.678751323409678,-1.4308049143623376,-1.1017423742654882,-0.9935249565108657,0.32143753708629386
DL*BH,-0.36380090249479285,-0.5282595272839712,-0.4863035710123172,-0.42274152643356805,-0.4545225487229426,0.07214685514797799
DL*BP,0.343430971543967,-0.14873531585630828,0.354628608596079,0.4658293012702086,0.349029790070023,0.27397762922117563
DL*CS,-0.2788559252402461,-0.16279794786198104,-0.5851710997637282,-0.45104313948085356,-0.36494953236054983,0.18628418180137377
DL*EL,0.9539468677030571,-0.3723398543204282,0.5551766255680995,0.594251344050301,0.5747139848092002,0.565946643805833
BH*PJ,-0.17922044821171196,-0.3896342039833311,-0.03931893042832663,-0.015515327750865893,-0.10926968932001929,0.1717309149272247
BH*BV,-0.1504630752945861,0.07213257105827466,-0.38179110334849714,-0.06926259289164334,-0.10986283409311473,0.19003691770828338
BH*AC,-0.09381656142413103,0.09995928869096805,-0.052982483406696396,-0.412595327072334,-0.07339952241541371,0.21530234953151378
BH*DP,-0.09155113955842177,0.16506106941937024,-0.029203802497749426,0.11386904700056664,0.04233262225140861,0.11998742057844324
BH*BT,-0.2057363870818162,0.017767797533100652,-0.03822759310166444,0.008301036202158177,-0.01496327844975313,0.10376871391642911
BH*DL,-0.21836683841718937,-0.10249758436477611,-0.09353980301656245,-0.24601276452262613,-0.16043221139098274,0.07836699071497485
BH*BH,-1.2472089846040977,-0.7407283675311159,-0.9591572497577253,-1.061692179001056,-1.0104247143793907,0.21117829338397173
BH*BP,0.05908640259405623,0.15672280581703565,-0.34587900985209735,0.07154947846185399,0.06531794052795512,0.22505458679226073
BH*CS,-0.015436406289273298,0.1659832048129993,0.14247463489438192,-0.1990907096303764,0.06351911430255432,0.16883827957616138
BH*EL,-0.049454094446129186,-0.30986500148591545,-0.09588139220668061,-0.23331987707075383,-0.1646006346387172,0.12052435394849655
BP*PJ,0.5314947834897461,0.12904163510888308,0.08385219847712554,0.33923618665954836,0.23413891088421573,0.20630895212403483
BP*BV,0.027835491292668768,0.2944393470239851,0.09442055996272457,-0.04085886134918798,0.06112802562769667,0.14461530200607173
BP*AC,0.035313793009349746,-0.04154711826905891,-0.041067186848706284,0.32475988297977293,-0.002876696919678269,0.1740524794621729
BP*DP,0.0037363233115053963,0.19429739995657122,0.0003623340510484841,-0.20741021324074566,0.0020493286812769402,0.16407747543214984
BP*BT,-0.1835028964699668,-0.1673875826068497,-0.05648198342752106,0.06536999829289004,-0.11193478301718537,0.11534577809189765
BP*DL,-0.16165245316419138,-0.11799893116655392,-0.0922147982691478,-0.012872724426088153,-0.10510686471785086,0.062499420742737524
BP*BH,0.2591238840755497,-0.014333820718978641,0.013372290563266432,0.08889324977445372,0.05113277016886007,0.12290860521985751
BP*BP,-1.41995433870307,-0.3973436387640831,-1.5217432353005058,-1.5669319396817323,-1.470848787001788,0.5561736317335343
BP*CS,-0.0441464894151895,-0.3688003909643744,-0.14919664927426937,0.0337881870625593,-0.09667156934472944,0.17471317507238263
BP*EL,0.038551807069891995,-0.4819627971263971,-0.019159823364533174,0.45186411463901055,0.00969599185267941,0.38222768006447394
CS*PJ,-0.013761732116399744,-0.4484694617269584,-0.21803292503214902,-0.8810628276779714,-0.3332511933795537,0.3722404454014397
CS*BV,0.02886239428360094,0.08295685212449472,-0.08115415543830914,-0.04156283798837277,-0.006350221852385915,0.073026600957505
CS*AC,0.37772490687675586,-0.060449222340421556,0.1917395085271,0.4691444816102388,0.2847322077019279,0.23380312959321328
CS*DP,-0.26268255290887793,-0.1796219366622241,-0.20249857705083685,-0.22393254516560473,-0.2132155611082208,0.03531869867366478
CS*BT,-0.24527919063289078,-0.1647929485028917,-0.0702676478426982,-0.06759507269271246,-0.11753029817279495,0.08518035925563805
CS*DL,-0.32345459137179944,-0.09328884492845152,-0.14014239108023338,-0.14925606365161898,-0.14469922736592616,0.10096839606933931
CS*BH,0.7826353911076763,0.25582768961346386,0.493400220346005,0.2736177541146322,0.38350898723031857,0.24585629599176684
CS*BP,0.6166105452971533,0.10585708565450648,0.19242308859216978,0.439928260870179,0.31617567473117436,0.23316245371558372
CS*CS,-0.7872007157103527,-0.9280870607101809,-0.9730199331202863,-1.038263380995987,-0.9505534969152336,0.10638949577379568
CS*EL,0.4014972527704987,0.17003940794709066,0.25629831077852244,0.12441717782508044,0.21316885936280655,0.12190961612526588
EL*PJ,0.31054665006062165,0.034486013454750476,0.18217386743488503,-0.0928811455923676,0.10832994044481775,0.1753882332417992
EL*BV,0.19722168628017223,0.6634537703571817,-0.144334147287132,0.04794058049001134,0.12258113338509179,0.3445607070298536
EL*AC,0.04774587486956568,-0.29178363325140994,-0.36449464866888365,0.04647415042835685,-0.12265474141152655,0.2186749351643509
EL*DP,0.13446356296218556,-0.15105048181695924,-0.06649827759711378,0.026775492362217105,-0.01986139261744834,0.12280465523556312
EL*BT,0.08965372666174871,-0.09619522339089696,-0.12024931896624527,-0.1650648304123019,-0.10822227117857111,0.112105127919016
EL*DL,0.024057281834175697,-0.06783522758278263,-0.011486190248534854,0.11746378974685341,0.006285545792820421,0.07776641551665987
EL*BH,0.3584486280786794,0.09117769080813866,-0.0720551108604686,0.3331957061885696,0.21218669849835411,0.20551780645526918
EL*BP,0.11363314521373268,0.008761854778531395,-0.23544657868797314,-0.1792701087395168,-0.0852541269804927,0.1624798786080202
EL*CS,0.07991200540646297,0.06283122505708044,-0.0669168912337589,-0.1123328429815667,-0.0020428330883392257,0.09503867316505665
EL*EL,-1.6379769184074853,-1.352494904755971,-1.4022009880779633,-1.1216997677325202,-1.3773479464169671,0.21174874859104925
